Nome,Ano de entrada em operação,Tensão (kV),Agente,OBJECTID,Longitude,Latitude,x,y
SE Porto Alegre 1,-,230/69,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,343,-51.17111111,-30.01666667,-51.17111111099996,-30.016666665999935
SE Porto Alegre 8,2008,230/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,344,-51.14181946,-30.00875278,-51.14181946399998,-30.008752782999977
SE Porto Alegre 4,-,"230/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,345,-51.22821038,-30.04681315,-51.22821037799997,-30.04681315499994
SE Porto Alegre 9,-,"230/69/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,346,-51.1960398,-29.97109178,-51.19603980499994,-29.971091779999938
SE Porto Alegre 6,-,"230/69/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,347,-51.14263889,-30.06461111,-51.142638888999954,-30.06461110999993
SE Porto Alegre 10,-,"230/69/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,348,-51.19646245,-30.04707744,-51.19646244699993,-30.047077435999938
SE Jardim Botânico,2019,230/69,TESB - TRANSMISSORA DE ENERGIA SUL BRASIL,349,-51.17232331,-30.04234639,-51.17232331099996,-30.04234638899993
SE UHE Porto Colômbia,1973,345/138,FURNAS - Furnas Centrais Elétricas S.A.,350,-48.57483901,-20.12114472,-48.57483901499995,-20.121144723999976
SE Porto Estrela,2001,"230/13,8",PORTO ESTRELA - Consorcio AHE Porto Estrela,351,-42.66704106,-19.12009044,-42.66704106199995,-19.120090439999956
SE Porto Franco,-,230/138/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,352,-47.37686918,-6.34746722,-47.376869176999946,-6.347467218999952
SE Porto Velho,-,230/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,353,-63.81803761,-8.79735459,-63.818037611999955,-8.797354592999966
SE Posto Fiscal,2007,"230/138/13,8",COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,354,-48.56418973,-25.55298656,-48.56418973099994,-25.552986562999934
SE Povo Novo,2014,525/230,TSLE - TRANSMISSORA SUL LITORÂNEA DE ENERGIA S.A.,355,-52.341142,-31.92911,-52.341141999999934,-31.92910999999998
SE Presidente Dutra,-,"500/230/69/13,8",ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,356,-44.48127255,-5.26890327,-44.481272546999946,-5.268903271999932
SE Quinta,-,"230/138/69/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,357,-52.26827918,-32.0768003,-52.26827918399994,-32.076800300999935
SE Quixadá,2003,500,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,358,-38.92905097,-4.95331864,-38.92905097199997,-4.953318637999928
SE Ramom Reberte Filho,-,345/88,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,359,-46.52356111,-23.57940833,-46.523561110999935,-23.579408332999947
SE Realeza Sul,2017,230/138,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,360,-53.51695964,-25.78244227,-53.51695964299995,-25.78244227099998
SE Recife II,-,"500/230/13,8",CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,361,-35.03570735,-8.11500632,-35.03570734799996,-8.115006317999928
SE Ribeirão,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,362,-35.39690892,-8.46933291,-35.39690891899994,-8.469332909999935
SE Ribeirãozinho,2006,500/230,ITE - Itumbiara Transmissora de Energia S/A.,363,-52.63814007,-16.4740215,-52.63814007199994,-16.474021495999978
SE Ribeirão Preto,-,500/440/138,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,364,-47.68800247,-21.20204831,-47.68800247099995,-21.202048314999956
SE Ribeiro Gonçalves,2006,500/230/69,ATE II - ATE II TRANSMISSORA DE ENERGIA S.A,365,-45.20592045,-7.63258377,-45.20592044999995,-7.632583772999965
SE Rio Branco I,-,"230/138/69/13,8",ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,366,-67.73002442,-10.01078559,-67.73002441599994,-10.010785589999955
SE Rio das Éguas,2003,500,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,367,-46.17528791,-13.85421972,-46.175287914999956,-13.854219716999978
SE Rio Largo II,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,368,-35.83836696,-9.50355685,-35.83836696199995,-9.503556853999953
SE Rio Novo do Sul,2019,500/345/138,ETC CAPIXABA - ETC - EMPRESA TRANSMISSORA CAPIXABA S.A.,369,-40.88187777,-20.85752321,-40.881877766999935,-20.857523208999964
SE Rio Verde Norte,2006,500,ITE - Itumbiara Transmissora de Energia S/A.,370,-50.86269637,-17.72277673,-50.862696368999934,-17.722776729999964
SE Rondonópolis,-,"230/138/13,8",ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,371,-54.59928039,-16.47043351,-54.59928038999993,-16.470433511999943
SE Rurópolis,-,230/138,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,372,-54.8970217,-4.0741809,-54.897021698999936,-4.074180899999931
SE Russas II,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,373,-37.99557299,-4.94910417,-37.99557299099996,-4.949104174999945
SE Salto,2012,440/88,IESJ - Interligação Elétrica Serra do Japi S.A.,374,-47.240628,-23.178925,-47.24062799999996,-23.178924998999946
SE Salto Grande,1958,230/88,DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema,375,-49.99884487,-22.90533747,-49.998844873999985,-22.90533746799997
SE Salto Osório,-,230/69,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,376,-53.01281816,-25.53980555,-53.012818160999984,-25.539805547999947
SE Salto Santiago,1980,525,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,377,-52.62237222,-25.63012778,-52.62237222199997,-25.630127776999927
SE Samuel,-,230,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,378,-63.46015511,-8.7529122,-63.46015510899997,-8.752912199999969
SE Santa Bárbara d´Oeste,-,"440/138/13,8",CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,379,-47.41816462,-22.72590804,-47.41816462099996,-22.725908038999933
SE Santa Cabeça,-,230/88,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,380,-44.92934116,-22.65566815,-44.92934115799994,-22.65566815099993
SE Santa Cruz 1,-,"230/69/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,381,-52.41749041,-29.75071474,-52.417490414999975,-29.750714744999982
SE Santa Maria,-,230/138/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,382,-47.569521,-1.3423,-47.56952099999995,-1.342299999999966
SE Santa Maria 3,-,230/138/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,383,-53.87580954,-29.68119258,-53.87580953799994,-29.681192581999937
SE Santa Marta,-,"230/138/69/44/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,384,-52.43033539,-28.28422025,-52.43033539099997,-28.284220249999976
SE Santa Mônica,2007,230/69,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,385,-49.14416609,-25.36373735,-49.14416609399996,-25.363737354999955
SE Santa Rita II,2012,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,386,-35.009201,-7.156305,-35.00920099999996,-7.156304999999975
SE Santa Rosa 1,-,230/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,387,-54.45766792,-27.87711315,-54.45766791699998,-27.877113146999932
SE Santa Vitoria do Palmar 2,2014,525/138,TSLE - TRANSMISSORA SUL LITORÂNEA DE ENERGIA S.A.,388,-53.3015395,-33.4743886,-53.30153950499994,-33.474388603999955
SE Santana do Araguaia,2020,230/138,ENERGISA PARÁ - ENERGISA PARÁ TRANSMISSORA DE ENERGIA I SA,389,-50.39150714,-9.32654238,-50.39150713599997,-9.326542378999932
SE Santo Angelo,-,440/345/138,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,390,-46.253906,-23.586121,-46.25390599999997,-23.586120998999945
